,NN_model_output.net.result,Round Value,validate_df...24.,Forecasting Result,,,,,
27112,0.627493025,1,1,1,,,,,
24628,0.625220012,1,0,0,,,,,
24877,0.62076422,1,1,1,,,,,
26557,0.619833104,1,1,1,,,,,
25677,0.619468516,1,0,0,,,,,
29108,0.618735346,1,0,0,,,,,
27743,0.618675049,1,0,0,,,,,
28021,0.617890813,1,0,0,,,,,
28749,0.616944927,1,1,1,,,,,
29164,0.615997468,1,1,1,,,,,
27748,0.615281447,1,1,1,,,,,
24320,0.611901445,1,1,1,,,,,
24583,0.610732454,1,0,0,,,,,
24039,0.610366583,1,1,1,,,,,
26525,0.610228252,1,1,1,,,,,
29150,0.609186037,1,0,0,,,,,
29818,0.60913725,1,1,1,,,,,
29127,0.608126709,1,1,1,,,,,
28538,0.607327836,1,0,0,,,,,
26881,0.603533209,1,0,0,,,,,
26235,0.603057151,1,1,1,,,,,
28320,0.602390491,1,0,0,,,,,
27920,0.602052808,1,0,0,,,,,
29577,0.602046344,1,1,1,,,,,
25144,0.601690231,1,1,1,,,,,
29525,0.601367547,1,1,1,,,,,
24970,0.601085907,1,1,1,,,,,
29504,0.600619434,1,1,1,,,,,
28547,0.600508895,1,1,1,,,,,
26413,0.600070906,1,0,0,,,,,
27011,0.599769495,1,0,0,,,,,
29128,0.598695698,1,0,0,,,,,
26315,0.598180254,1,1,1,,,,,
29178,0.59589677,1,0,0,,,,,
27852,0.595603629,1,0,0,,,,,
29050,0.595404503,1,1,1,,,,,
27850,0.595247166,1,0,0,,,,,
29717,0.59258053,1,1,1,,,,,
25072,0.592512192,1,0,0,,,,,
29057,0.592481875,1,0,0,,,,,
27028,0.588530375,1,1,1,,,,,
28522,0.588218137,1,1,1,,,,,
27884,0.587628288,1,0,0,,,,,
27229,0.58755698,1,1,1,,,,,
29846,0.585574078,1,1,1,,,,,
25186,0.58498639,1,0,0,,,,,
29012,0.584193348,1,1,1,,,,,
24951,0.583966935,1,0,0,,,,,
24013,0.582078017,1,1,1,,,,,
24109,0.581173851,1,0,0,,,,,
24503,0.580836489,1,0,0,,,,,
26574,0.580615471,1,0,0,,,,,
27931,0.579923612,1,0,0,,,,,
28671,0.579879678,1,1,1,,,,,
28202,0.57985389,1,1,1,,,,,
27210,0.579561063,1,1,1,,,,,
27723,0.579312378,1,0,0,,,,,
27454,0.579179791,1,1,1,,,,,
25705,0.577908525,1,1,1,,,,,
25726,0.577376668,1,1,1,,,,,
24199,0.575813883,1,0,0,,,,,
27387,0.575796469,1,1,1,,,,,
28767,0.57547558,1,0,0,,,,,
27624,0.575387327,1,1,1,,,,,
28989,0.575365748,1,1,1,,,,,
24709,0.575308764,1,0,0,,,,,
24333,0.574983087,1,1,1,,,,,
29918,0.57399996,1,1,1,,,,,
27827,0.573194564,1,1,1,,,,,
27548,0.572081723,1,1,1,,,,,
29561,0.570813542,1,0,0,,,,,
26169,0.570752431,1,1,1,,,,,
24713,0.570205125,1,1,1,,,,,
26775,0.569328024,1,0,0,,,,,
27669,0.568663218,1,1,1,,,,,
26147,0.568442435,1,0,0,,,,,
29760,0.567779378,1,0,0,,,,,
29082,0.567402027,1,1,1,,,,,
26570,0.567152969,1,1,1,,,,,
24103,0.566433298,1,1,1,,,,,
27477,0.566032047,1,0,0,,,,,
27035,0.565824315,1,1,1,,,,,
24131,0.565318966,1,0,0,,,,,
27914,0.565203825,1,0,0,,,,,
27578,0.564682507,1,1,1,,,,,
28642,0.564382803,1,1,1,,,,,
26720,0.564362389,1,1,1,,,,,
26937,0.56420254,1,1,1,,,,,
27236,0.563976258,1,0,0,,,,,
29190,0.563815779,1,1,1,,,,,
26373,0.562677775,1,0,0,,,,,
24325,0.562318313,1,1,1,,,,,
26485,0.561772447,1,1,1,,,,,
26866,0.561680596,1,1,1,,,,,
29606,0.561476998,1,0,0,,,,,
27555,0.561079431,1,1,1,,,,,
29251,0.560470678,1,1,1,,,,,
25178,0.56003506,1,0,0,,,,,
25485,0.55977069,1,1,1,,,,,
25852,0.559753647,1,1,1,,,,,
29291,0.556471698,1,1,1,,,,,
25035,0.556130371,1,0,0,,,,,
24373,0.556049882,1,0,0,,,,,
29951,0.555772374,1,0,0,,,,,
27092,0.555397294,1,1,1,,,,,
29063,0.553569221,1,0,0,,,,,
28048,0.553096242,1,0,0,,,,,
25147,0.552966006,1,1,1,,,,,
26687,0.552329627,1,0,0,,,,,
24413,0.551407737,1,1,1,,,,,
25244,0.551141896,1,1,1,,,,,
24798,0.551042164,1,0,0,,,,,
25887,0.550814629,1,1,1,,,,,
29716,0.550633436,1,1,1,,,,,
27551,0.550318236,1,1,1,,,,,
26707,0.5502236,1,1,1,,,,,
27231,0.550052804,1,1,1,,,,,
25193,0.548946219,1,0,0,,,,,
27111,0.548666801,1,1,1,,,,,
26739,0.546589068,1,1,1,,,,,
24040,0.54521286,1,1,1,,,,,
24685,0.544019637,1,1,1,,,,,
26277,0.543367359,1,0,0,,,,,
24657,0.542477997,1,0,0,,,,,
28647,0.541605784,1,1,1,,,,,
29186,0.54031625,1,0,0,,,,,
27262,0.540304192,1,0,0,,,,,
26130,0.540274264,1,0,0,,,,,
27956,0.539447072,1,0,0,,,,,
24334,0.538271018,1,0,0,,,,,
27361,0.538145201,1,0,0,,,,,
27482,0.537909624,1,1,1,,,,,
25018,0.536793711,1,1,1,,,,,
26375,0.536771767,1,1,1,,,,,
29119,0.535817824,1,1,1,,,,,
28577,0.535371166,1,0,0,,,,,
24004,0.534847779,1,0,0,,,,,
24001,0.5346755,1,0,0,,,,,
29669,0.534543354,1,1,1,,,,,
27214,0.534471031,1,1,1,,,,,
28732,0.533985885,1,1,1,,,,,
29153,0.532895085,1,1,1,,,,,
26442,0.532396803,1,1,1,,,,,
28230,0.532313292,1,1,1,,,,,
26652,0.532173524,1,1,1,,,,,
27554,0.52982929,1,1,1,,,,,
29933,0.528496131,1,1,1,,,,,
29815,0.526367575,1,0,0,,,,,
29975,0.526256873,1,1,1,,,,,
25049,0.526078722,1,1,1,,,,,
24591,0.52557786,1,1,1,,,,,
27164,0.52533082,1,0,0,,,,,
28419,0.52430741,1,0,0,,,,,
25406,0.523262145,1,1,1,,,,,
26244,0.522593911,1,1,1,,,,,
27191,0.522354648,1,0,0,,,,,
28586,0.522353831,1,0,0,,,,,
25234,0.521963308,1,1,1,,,,,
24553,0.521747778,1,0,0,,,,,
26327,0.520598361,1,1,1,,,,,
26703,0.520585158,1,0,0,,,,,
29343,0.519459674,1,1,1,,,,,
25822,0.518822363,1,1,1,,,,,
26495,0.51864702,1,1,1,,,,,
24331,0.518035205,1,1,1,,,,,
27474,0.516979325,1,1,1,,,,,
26445,0.515055114,1,0,0,,,,,
27694,0.513975712,1,0,0,,,,,
26536,0.512738882,1,1,1,,,,,
24845,0.512016293,1,0,0,,,,,
24308,0.511867448,1,0,0,,,,,
27309,0.51166175,1,0,0,,,,,
26650,0.511286414,1,0,0,,,,,
28521,0.510629022,1,0,0,,,,,
29607,0.509247091,1,1,1,,,,,
28911,0.508905954,1,1,1,,,,,
25016,0.508711981,1,0,0,,,,,
25460,0.506419261,1,1,1,,,,,
24219,0.506003434,1,1,1,,,,,
25084,0.505430218,1,0,0,,,,,
27527,0.505300692,1,1,1,,,,,
26628,0.503067481,1,1,1,,,,,
24724,0.502873156,1,1,1,,,,,
25063,0.501814757,1,0,0,,,,,
29065,0.501590606,1,0,0,,,,,
27278,0.500989596,1,0,0,,,,,
29784,0.500976703,1,0,0,,,,,
27122,0.500919632,1,1,1,,,,,
27864,0.500543091,1,0,0,,,,,
24364,0.498506085,0,0,1,,,,,
24406,0.498495119,0,1,0,,,,,
26503,0.497328813,0,1,0,,,,,
29536,0.49727672,0,0,1,,,,,
27512,0.495633496,0,1,0,,,,,
24316,0.495027708,0,1,0,,,,,
28662,0.494565326,0,0,1,,,,,
27478,0.494083298,0,0,1,,,,,
26564,0.493731848,0,0,1,,,,,
27321,0.493124622,0,1,0,,,,,
24399,0.493064841,0,0,1,,,,,
25236,0.49267565,0,1,0,,,,,
29223,0.49235413,0,0,1,,,,,
24746,0.491905402,0,0,1,,,,,
26077,0.491661881,0,0,1,,,,,
25171,0.491433766,0,0,1,,,,,
26616,0.489828547,0,1,0,,,,,
